trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
134,False,"{'a': 0.8, 'e': 5.569169079973268e-05}",30,9,37.95125588074991,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.8, 'e': 5.486968449931413e-05}",25,17,14.358101737184267,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.8, 'e': 5.406574394463668e-05}",20,12,15.058649695213195,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.8, 'e': 5.3279343598486864e-05}",20,14,12.603077412354555,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.8, 'e': 5.250997689561016e-05}",30,4,41.8120171954505,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.8, 'e': 5.175715542673774e-05}",20,7,25.154017570392668,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.8, 'e': 5.102040816326531e-05}",25,5,32.942414751387496,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.8, 'e': 5.02992807202857e-05}",20,6,23.740703517003297,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.8, 'e': 4.959333465582226e-05}",25,13,23.91904391866257,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.8, 'e': 4.8902146804244705e-05}",30,17,24.107057225917718,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.8, 'e': 4.8225308641975306e-05}",20,10,-5.725655351420045,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
145,False,"{'a': 0.8, 'e': 4.756242568370987e-05}",20,14,11.509209624687418,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.8, 'e': 4.6913116907487336e-05}",25,7,35.777322316629586,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.8, 'e': 4.627701420704336e-05}",30,12,33.101184270138226,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.8, 'e': 4.565376186997809e-05}",25,0,-14.793031842345801,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
149,False,"{'a': 0.8, 'e': 4.504301608035674e-05}",25,13,23.982556892227525,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.8, 'e': 4.4444444444444447e-05}",25,7,30.10273613189045,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.8, 'e': 4.385772553835358e-05}",25,15,19.84478052244002,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.8, 'e': 4.3282548476454294e-05}",20,9,18.46991271245939,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.8, 'e': 4.2718612499466016e-05}",25,11,24.77754182461449,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.8, 'e': 4.2165626581210996e-05}",30,17,25.64500082692596,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.8, 'e': 4.162330905306972e-05}",30,11,33.63768655234988,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.8, 'e': 4.10913872452334e-05}",25,15,21.24598811583885,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.8, 'e': 4.056959714390036e-05}",20,3,27.43882873543194,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.8, 'e': 4.00576830636116e-05}",30,15,26.134926998981857,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.8, 'e': 3.955539733396622e-05}",25,14,25.20791638285895,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.8, 'e': 3.90625e-05}",20,11,16.20306647822837,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.8, 'e': 3.8578758535550326e-05}",25,15,18.354563506567406,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.8, 'e': 3.8103947568968146e-05}",30,13,30.031568506163808,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.8, 'e': 3.7637848620572846e-05}",25,14,20.94329552406977,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.8, 'e': 3.7180249851279e-05}",20,8,23.940106975270194,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.8, 'e': 3.6730945821854914e-05}",25,15,16.80945869414591,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.8, 'e': 3.628973726230222e-05}",20,12,13.5641729151663,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.8, 'e': 3.58564308508731e-05}",30,7,41.76267516441835,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.8, 'e': 3.5430839002267575e-05}",30,7,43.612441526501684,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.8, 'e': 3.501277966457757e-05}",20,4,32.66518626403261,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.8, 'e': 3.460207612456748e-05}",30,13,30.440918852211404,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.8, 'e': 3.419855682090216e-05}",25,10,30.814197643460773,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.8, 'e': 3.380205516495403e-05}",20,10,21.049587034784384,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.8, 'e': 3.3412409368839586e-05}",25,12,25.350606307961574,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.8, 'e': 3.302946228035408e-05}",25,8,32.49885637304178,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.8, 'e': 3.265306122448979e-05}",25,13,24.291766428464364,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.8, 'e': 3.228305785123967e-05}",20,8,22.270629777347157,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.8, 'e': 3.191930798940279e-05}",25,8,29.49049249478205,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.8, 'e': 3.156167150612296e-05}",30,18,21.448016579997926,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.8, 'e': 3.121001217190475e-05}",25,14,22.481223612160363,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.8, 'e': 3.08641975308642e-05}",30,19,21.102529517465957,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.8, 'e': 3.0524098775983637e-05}",30,24,10.84210005966626,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
